id catagory_id speed power maxQ maxP absP
298 16 330 630 368 400 100
299 16 210 315 241 400 200
300 16 236 400 1271 400 200
301 16 266 450 307 400 200
302 16 298 500 345 400 200
303 16 330 630 380 400 200
304 16 210 315 236 400 400
305 16 236 400 258 400 400
306 16 266 450 298 400 400
307 16 298 500 334 400 400
308 16 330 630 368 400 400
309 17 340 90 65 550 200
310 17 390 110 77 550 200
311 17 440 132 88 550 200
312 17 490 160 99 550 200
313 17 530 185 107 550 200
314 17 570 185 113 550 200
315 17 610 220 120 550 200
316 17 340 90 69 550 250
317 17 390 110 82 550 250
318 17 440 132 93 550 250
319 17 490 160 104 550 250
320 17 530 185 110 550 250
321 17 570 185 119 550 250
322 17 610 220 126 550 250
323 17 340 90 77 550 350
324 17 390 110 88 550 350
325 17 440 132 100 550 350
326 17 490 160 110 550 350
327 17 530 185 117 550 350
328 17 570 185 126 550 350
329 17 610 220 135 550 350
330 17 340 90 79 550 400
331 17 390 110 90 550 400
332 17 440 132 102 550 400
333 17 490 160 113 550 400
334 17 530 185 121 550 400
335 17 570 185 129 550 400
336 17 610 220 139 550 400
337 17 340 90 81 550 550
338 17 390 110 94 550 550
339 17 440 132 105 550 550
340 17 490 160 115 550 550
341 17 530 185 125 550 550
342 17 570 185 133 550 550
343 17 610 220 143 550 550
344 18 340 132 87 550 200
345 18 390 160 108 550 200
346 18 440 185 121 550 200
347 18 490 200 135 550 200
348 18 530 220 146 550 200
349 18 570 250 157 550 200
350 18 610 315 165 550 200
351 18 340 132 95 550 250
352 18 390 160 114 550 250
353 18 440 185 127 550 250
354 18 490 200 141 550 250
355 18 530 220 152 550 250
356 18 570 250 162 550 250
357 18 610 315 173 550 250
358 18 340 132 106 550 350
359 18 390 160 123 550 350
360 18 440 185 136 550 350
361 18 490 200 150 550 350
362 18 530 220 161 550 350
363 18 570 250 172 550 350
364 18 610 315 183 550 350
365 18 340 132 108 550 400
366 18 390 160 126 550 400
367 18 440 185 140 550 400
368 18 490 200 153 550 400
369 18 530 220 164 550 400
370 18 570 250 174 550 400
371 18 610 315 187 550 400
372 18 340 132 116 550 550
373 18 390 160 131 550 550
374 18 440 185 146 550 550
375 18 490 200 160 550 550
376 18 530 220 170 550 550
377 18 570 250 183 550 550
378 18 610 315 194 550 550
379 19 260 160 112 550 200
380 19 300 185 139 550 200
381 19 340 220 161 550 200
382 19 380 280 179 550 200
383 19 420 315 197 550 200
384 19 470 400 220 550 200
385 19 260 160 125 550 250
386 19 300 185 147 550 250
387 19 340 220 170 550 250
388 19 380 280 188 550 250
389 19 420 315 205 550 250
390 19 470 400 229 550 250
391 19 260 160 139 550 350
392 19 300 185 158 550 350
393 19 340 220 182 550 350
394 19 380 280 200 550 350
395 19 420 315 218 550 350
396 19 470 400 243 550 350
397 19 260 160 143 550 400
398 19 300 185 163 550 400
399 19 340 220 187 550 400
400 19 380 280 206 550 400
401 19 420 315 225 550 400
402 19 470 400 250 550 400
403 19 260 160 146 550 550
404 19 300 185 168 550 550
405 19 340 220 190 550 550
406 19 380 280 210 550 550
407 19 420 315 230 550 550
408 19 470 400 260 550 550
409 20 300 185 138 550 200
410 20 340 250 170 550 200
411 20 380 280 197 550 200
412 20 420 315 220 550 200
413 20 470 400 242 550 200
414 20 300 450 267 550 200
415 20 340 185 153 550 250
416 20 380 250 183 550 250
417 20 420 280 208 550 250
418 20 470 315 230 550 250
419 20 300 400 252 550 250
420 20 340 450 278 550 250
421 20 380 185 168 550 350
422 20 420 250 197 550 350
423 20 470 280 223 550 350
424 20 300 315 243 550 350
